drug_a_rxcui,drug_a_name,drug_b_rxcui,drug_b_name,severity,description,source,severity_clean,severity_color,pair_id
82122,Levofloxacin,2122,Calcium Carbonate,Medium,"Same chelation mechanism as ciprofloxacin. Levofloxacin bioavailability reduced significantly. Critical for serious infections (pneumonia, UTI). Dose separation essential: 2 hours before or 6 hours after. Educate patients taking daily calcium for osteoporosis.",Curated Clinical References,Medium,#F39C12,Calcium Carbonate_Levofloxacin
2551,Ciprofloxacin,5640,Iron Sulfate,Medium,Iron forms particularly strong chelate with fluoroquinolones. Can reduce absorption >90%. Common in patients on iron for anemia. Must separate by at least 2 hours before or 6 hours after fluoroquinolone. Consider IV fluoroquinolone if serious infection and oral dosing too complex.,Curated Clinical References,Medium,#F39C12,Ciprofloxacin_Iron Sulfate
2551,Ciprofloxacin,6675,Magnesium Oxide,Medium,Magnesium supplement or magnesium-containing laxatives/antacids significantly impair fluoroquinolone absorption. Many OTC products contain magnesium; check labels. Separate dosing strictly. Alternative: use different antibiotic class not affected by cations.,Curated Clinical References,Medium,#F39C12,Ciprofloxacin_Magnesium Oxide
3640,Doxycycline,2122,Calcium Carbonate,Medium,"Tetracyclines form stable chelate complexes with polyvalent cations. Reduces doxycycline absorption by 50-90%. Classic teaching: ""don't take tetracyclines with milk/dairy"" (high calcium). Separate doses by 2-3 hours. Consider minocycline (less affected) if separation difficult.",Curated Clinical References,Medium,#F39C12,Calcium Carbonate_Doxycycline
3640,Doxycycline,5640,Iron Sulfate,Medium,"Iron-tetracycline chelation reduces absorption of both drugs. Problematic for patients needing long-term doxycycline (acne, rosacea) who are also iron deficient. Strict dose separation required. Monitor iron levels to ensure supplementation still effective.",Curated Clinical References,Medium,#F39C12,Doxycycline_Iron Sulfate
82122,Levofloxacin,5640,Iron Sulfate,Medium,"Similar to ciprofloxacin + iron. Separation critical. For elderly patients on multiple supplements, create dosing schedule: e.g., levofloxacin 8 AM, calcium + vitamin D noon, iron 6 PM. Ensure understanding to prevent treatment failure.",Curated Clinical References,Medium,#F39C12,Iron Sulfate_Levofloxacin
18631,Azithromycin,2122,Calcium Carbonate,Low,"Macrolides not significantly affected by cation chelation. No dose separation needed. Safe to take azithromycin with or without food, supplements. Good alternative when patient has complex supplement regimen.",Curated Clinical References,Low,#27AE60,Azithromycin_Calcium Carbonate
10582,Levothyroxine,2122,Calcium Carbonate,Medium,"Calcium binds levothyroxine in GI tract, reducing absorption by 20-40%. Can lead to hypothyroid symptoms or need for dose increase. Take levothyroxine on empty stomach (30-60 min before breakfast), calcium with food later in day. Separate by at least 4 hours. Check TSH 6-8 weeks after starting calcium.",Curated Clinical References,Medium,#F39C12,Calcium Carbonate_Levothyroxine
10582,Levothyroxine,5640,Iron Sulfate,Medium,"Iron forms complex with levothyroxine, reducing absorption by 40-50%. Especially problematic in pregnancy (high iron needs + increased levothyroxine requirements). Strict separation: levothyroxine upon waking, iron with lunch/dinner. Monitor TSH closely; may need levothyroxine dose increase.",Curated Clinical References,Medium,#F39C12,Iron Sulfate_Levothyroxine
10582,Levothyroxine,7646,Omeprazole,Low,"PPIs increase gastric pH, potentially reducing levothyroxine dissolution and absorption. Clinical significance controversial; some studies show effect, others don't. Monitor TSH 6-12 weeks after PPI initiation. If TSH rises, may need modest levothyroxine dose increase (12.5-25 mcg).",Curated Clinical References,Low,#27AE60,Levothyroxine_Omeprazole
10582,Levothyroxine,283742,Esomeprazole,Low,"Similar to omeprazole. Some patients may experience reduced levothyroxine absorption. More likely in elderly or those with atrophic gastritis. If TSH becomes elevated after starting PPI, consider: dose increase or taking levothyroxine at bedtime (4 hours after last meal/supplement).",Curated Clinical References,Low,#27AE60,Esomeprazole_Levothyroxine
10582,Levothyroxine,6675,Magnesium Oxide,Low,Limited interaction data. Theoretically may reduce absorption via chelation. Separate doses as precaution (4 hours). More important for patients on high magnesium doses or with borderline hypothyroidism where small changes matter.,Curated Clinical References,Low,#27AE60,Levothyroxine_Magnesium Oxide
77492,Tamsulosin,136411,Sildenafil,Medium,"Both cause vasodilation via different mechanisms. Tamsulosin: alpha-1 blockade in prostate and vasculature. Sildenafil: PDE5 inhibition increasing cGMP. Combined effect can cause symptomatic orthostatic hypotension, dizziness, syncope. Take PDE5 inhibitor ≥4 hours after alpha blocker. Start sildenafil at low dose (25mg). Check orthostatic BPs.",Curated Clinical References,Medium,#F39C12,Sildenafil_Tamsulosin
77492,Tamsulosin,349332,Tadalafil,Medium,"Similar to sildenafil interaction. Tadalafil has longer half-life (17.5 hours), creating more sustained interaction. For once-daily tadalafil (BPH indication), use lower dose (2.5-5mg). For as-needed use (ED), take ≥4 hours after tamsulosin, start 10mg max. Monitor for dizziness, falls.",Curated Clinical References,Medium,#F39C12,Tadalafil_Tamsulosin
36437,Sertraline,5640,Ibuprofen,Medium,"SSRIs inhibit serotonin reuptake into platelets, impairing platelet aggregation. NSAIDs inhibit COX-1, reducing protective gastric prostaglandins. Synergistic effect increases upper GI bleeding risk 6-fold. Risk factors: age >65, H. pylori, previous ulcer, smoking. Consider PPI prophylaxis, or use acetaminophen instead of NSAID.",Curated Clinical References,Medium,#F39C12,Ibuprofen_Sertraline
36437,Sertraline,1191,Aspirin,Medium,"Even low-dose aspirin (81mg) plus SSRI increases bleeding. Often both needed (depression + CV protection). Strongly recommend PPI. Monitor for: melena, hematemesis, anemia symptoms. Rare but serious: GI perforation.",Curated Clinical References,Medium,#F39C12,Aspirin_Sertraline
321988,Escitalopram,5640,Ibuprofen,Medium,"Escitalopram is potent SSRI with strong platelet serotonin depletion effect. Combined with NSAID, clinically significant bleeding risk. Alternatives: SNRI (if pain is indication - dual benefit), or acetaminophen for analgesia. If NSAID necessary, use PPI.",Curated Clinical References,Medium,#F39C12,Escitalopram_Ibuprofen
4493,Fluoxetine,7258,Naproxen,Medium,"Fluoxetine has long half-life; prolonged bleeding risk. Naproxen also has long half-life (12-17 hours). Both drugs present in system for extended periods, increasing sustained bleeding risk. Careful patient selection for combination; elderly at highest risk.",Curated Clinical References,Medium,#F39C12,Fluoxetine_Naproxen
2556,Citalopram,1191,Aspirin,Medium,"Common combination in older adults (depression + CV disease). PPI prophylaxis recommended, especially if additional risk factors. Some evidence suggests proton pump inhibitor reduces upper GI bleeding from 4% to <1% in this combination.",Curated Clinical References,Medium,#F39C12,Aspirin_Citalopram
32937,Paroxetine,5640,Ibuprofen,Medium,"Paroxetine has strong serotonergic effect and anticholinergic properties. Combined with NSAID, increases GI bleeding risk. Also consider: paroxetine anticholinergic effects may slow GI motility, potentially increasing ulcer risk. Use PPI if combination necessary.",Curated Clinical References,Medium,#F39C12,Ibuprofen_Paroxetine
72625,Duloxetine,5640,Ibuprofen,Medium,"SNRI (not pure SSRI) but still affects platelet serotonin. Duloxetine often used for chronic pain; NSAID may be redundant. Optimize duloxetine dose (60-120mg/day) before adding NSAID. If both needed, PPI protection advised.",Curated Clinical References,Medium,#F39C12,Duloxetine_Ibuprofen
435,Albuterol,6918,Metoprolol,Medium,"Beta-2 agonist antagonized by beta blocker. Metoprolol is ""cardioselective"" (beta-1 preferential) but not completely selective, especially at higher doses (>100mg/day). Can reduce albuterol bronchodilator efficacy. May precipitate bronchospasm in asthma. Use in COPD more acceptable than asthma. If beta blocker needed, metoprolol or bisoprolol preferred over non-selective agents.",Curated Clinical References,Medium,#F39C12,Albuterol_Metoprolol
435,Albuterol,1202,Atenolol,Medium,"Similar to metoprolol. Atenolol is beta-1 selective. Generally safe in COPD but use cautiously in asthma. If patient develops increased dyspnea or wheezing after beta blocker initiation, consider: dose reduction, switch to more selective agent, or discontinuation.",Curated Clinical References,Medium,#F39C12,Albuterol_Atenolol
435,Albuterol,20352,Carvedilol,High,"Carvedilol is NON-selective beta blocker (blocks both beta-1 and beta-2). Significantly antagonizes albuterol effect and can cause severe bronchospasm in reactive airway disease. Generally CONTRAINDICATED in asthma. If used in COPD with caution, start very low dose (3.125mg BID) and monitor closely. Consider alternative: ACE inhibitor or ARB instead.",Curated Clinical References,High,#E74C3C,Albuterol_Carvedilol
435,Albuterol,8787,Propranolol,High,"Propranolol is non-selective beta blocker. Absolutely contraindicated in asthma and generally avoided in COPD. Blocks beta-2 receptors in bronchi, causing bronchospasm. If patient on propranolol develops respiratory condition requiring bronchodilators, switch propranolol to cardioselective beta blocker or alternative antihypertensive class.",Curated Clinical References,High,#E74C3C,Albuterol_Propranolol
83367,Atorvastatin,18631,Azithromycin,Low,Minimal interaction. Azithromycin is weak CYP3A4 inhibitor; atorvastatin is CYP3A4 substrate. Short azithromycin course (3-5 days) unlikely to significantly increase statin levels. Monitor for muscle pain but routine dose adjustment unnecessary. Safe combination for most patients.,Curated Clinical References,Low,#27AE60,Atorvastatin_Azithromycin
36567,Simvastatin,18631,Azithromycin,Medium,"Simvastatin more sensitive to CYP3A4 inhibition than atorvastatin. During azithromycin course, consider: temporarily holding simvastatin, reducing dose, or monitoring closely for myopathy symptoms (muscle pain, weakness, dark urine). Risk higher with simvastatin >40mg/day.",Curated Clinical References,Medium,#F39C12,Azithromycin_Simvastatin
83367,Atorvastatin,17767,Amlodipine,Low,"Amlodipine mildly inhibits CYP3A4. May increase atorvastatin levels ~20%, but clinical significance minimal. FDA allows combination without dose limit. Monitor lipids and liver enzymes routinely. Generally very safe, commonly used together for CV risk reduction.",Curated Clinical References,Low,#27AE60,Amlodipine_Atorvastatin
36567,Simvastatin,17767,Amlodipine,Medium,Simvastatin more affected than atorvastatin. FDA recommends limiting simvastatin to 20mg/day when combined with amlodipine due to increased myopathy risk. Alternative: switch to atorvastatin or rosuvastatin (not metabolized by CYP3A4) to avoid dose limitation.,Curated Clinical References,Medium,#F39C12,Amlodipine_Simvastatin
